uuid,baked_img,name,rarity,team,team_short_name,ovr,display_position,age,bat_hand,throw_hand,weight,height,is_hitter,stamina,pitching_clutch,hits_per_bf,k_per_bf,bb_per_bf,hr_per_bf,pitch_velocity,pitch_control,pitch_movement,contact_left,contact_right,power_left,power_right,plate_vision,plate_discipline,batting_clutch,bunting_ability,drag_bunting_ability,hitting_durability,fielding_durability,fielding_ability,arm_strength,arm_accuracy,reaction_time,blocking,speed,baserunning_ability,baserunning_aggression,new_rank,year,mlb_id,season,update,date,old_rank,new_rarity,old_rarity,delta_rank,season_gp,season_vl_gp,season_vl_h,season_vl_2b,season_vl_3b,season_vl_hr,season_vl_tb,season_vl_so,season_vl_pa,season_vl_bb,season_vl_hbp,season_vl_ab,season_vl_rbi,season_vl_pitches_per_pa,season_vl_avg,season_vl_obp,season_vl_slug,season_vl_ops,season_vl_babip,season_vr_gp,season_vr_h,season_vr_2b,season_vr_3b,season_vr_hr,season_vr_tb,season_vr_so,season_vr_pa,season_vr_bb,season_vr_hbp,season_vr_ab,season_vr_rbi,season_vr_pitches_per_pa,season_vr_avg,season_vr_obp,season_vr_slug,season_vr_ops,season_vr_babip,season_risp_gp,season_risp_h,season_risp_2b,season_risp_3b,season_risp_hr,season_risp_tb,season_risp_so,season_risp_pa,season_risp_bb,season_risp_hbp,season_risp_ab,season_risp_rbi,season_risp_pitches_per_pa,season_risp_avg,season_risp_obp,season_risp_slug,season_risp_ops,season_risp_babip,3wk_gp,3wk_vl_gp,3wk_vl_h,3wk_vl_2b,3wk_vl_3b,3wk_vl_hr,3wk_vl_tb,3wk_vl_so,3wk_vl_pa,3wk_vl_bb,3wk_vl_hbp,3wk_vl_ab,3wk_vl_rbi,3wk_vl_pitches_per_pa,3wk_vl_avg,3wk_vl_obp,3wk_vl_slug,3wk_vl_ops,3wk_vl_babip,3wk_vr_gp,3wk_vr_h,3wk_vr_2b,3wk_vr_3b,3wk_vr_hr,3wk_vr_tb,3wk_vr_so,3wk_vr_pa,3wk_vr_bb,3wk_vr_hbp,3wk_vr_ab,3wk_vr_rbi,3wk_vr_pitches_per_pa,3wk_vr_avg,3wk_vr_obp,3wk_vr_slug,3wk_vr_ops,3wk_vr_babip,3wk_risp_gp,3wk_risp_h,3wk_risp_2b,3wk_risp_3b,3wk_risp_hr,3wk_risp_tb,3wk_risp_so,3wk_risp_pa,3wk_risp_bb,3wk_risp_hbp,3wk_risp_ab,3wk_risp_rbi,3wk_risp_pitches_per_pa,3wk_risp_avg,3wk_risp_obp,3wk_risp_slug,3wk_risp_ops,3wk_risp_babip,1wk_gp,1wk_vl_gp,1wk_vl_h,1wk_vl_2b,1wk_vl_3b,1wk_vl_hr,1wk_vl_tb,1wk_vl_so,1wk_vl_pa,1wk_vl_bb,1wk_vl_hbp,1wk_vl_ab,1wk_vl_rbi,1wk_vl_pitches_per_pa,1wk_vl_avg,1wk_vl_obp,1wk_vl_slug,1wk_vl_ops,1wk_vl_babip,1wk_vr_gp,1wk_vr_h,1wk_vr_2b,1wk_vr_3b,1wk_vr_hr,1wk_vr_tb,1wk_vr_so,1wk_vr_pa,1wk_vr_bb,1wk_vr_hbp,1wk_vr_ab,1wk_vr_rbi,1wk_vr_pitches_per_pa,1wk_vr_avg,1wk_vr_obp,1wk_vr_slug,1wk_vr_ops,1wk_vr_babip,1wk_risp_gp,1wk_risp_h,1wk_risp_2b,1wk_risp_3b,1wk_risp_hr,1wk_risp_tb,1wk_risp_so,1wk_risp_pa,1wk_risp_bb,1wk_risp_hbp,1wk_risp_ab,1wk_risp_rbi,1wk_risp_pitches_per_pa,1wk_risp_avg,1wk_risp_obp,1wk_risp_slug,1wk_risp_ops,1wk_risp_babip,ovr_vl_GP,ovr_vl_AB,ovr_vl_H,ovr_vl_BB,ovr_vl_HBP,ovr_vl_SF,ovr_vl_TB,ovr_vl_RBI,ovr_vl_P,ovr_vl_AVG,ovr_vl_OBP,ovr_vl_SLG,ovr_vl_OPS,ovr_vl_BABIP,ovr_vr_GP,ovr_vr_AB,ovr_vr_H,ovr_vr_BB,ovr_vr_HBP,ovr_vr_SF,ovr_vr_TB,ovr_vr_RBI,ovr_vr_P,ovr_vr_AVG,ovr_vr_OBP,ovr_vr_SLG,ovr_vr_OPS,ovr_vr_BABIP,ovr_risp_GP,ovr_risp_AB,ovr_risp_H,ovr_risp_BB,ovr_risp_HBP,ovr_risp_SF,ovr_risp_TB,ovr_risp_RBI,ovr_risp_P,ovr_risp_AVG,ovr_risp_OBP,ovr_risp_SLG,ovr_risp_OPS,ovr_risp_BABIP,ovr_ovr_GP,ovr_ovr_AB,ovr_ovr_H,ovr_ovr_BB,ovr_ovr_HBP,ovr_ovr_SF,ovr_ovr_TB,ovr_ovr_RBI,ovr_ovr_P,ovr_ovr_AVG,ovr_ovr_OBP,ovr_ovr_SLG,ovr_ovr_OPS,ovr_ovr_BABIP
e74d3f932663d215b9fe235379a17891,https://cards.theshow.com/mlb25/e74d3f932663d215b9fe235379a17891-baked.webp,Carlos Narváez,Bronze,Red Sox,BOS,67,C,26,R,R,190 lbs,"6'0""",True,0,0,0,0,0,0,0,10,10,47,44,44,39,52,54,41,28,21,80,0,56,70,69,55,74,55,26,21,67,2025,665966,0,current,05/17/2025,67,Bronze,Bronze,0,33,33,8,1,0,2,15,8,34,5,0,29,5,3.3529,0.2759,0.3824,0.5172,0.8996,0.3158,33,22,5,0,2,33,24,89,6,0,83,9,2.9438,0.2651,0.3146,0.3976,0.7122,0.3509,33,13,6,0,0,19,2,27,2,0,25,2,2.2963,0.52,0.5556,0.76,1.3156,0.5652,15,15,5,1,0,1,9,6,23,3,0,20,3,3.3913,0.25,0.3478,0.45,0.7978,0.3077,15,12,1,0,1,16,9,33,3,0,30,5,3.1515,0.4,0.4545,0.5333,0.9879,0.55,15,8,2,0,0,10,2,17,2,0,15,0,2.8235,0.5333,0.5882,0.6667,1.2549,0.6154,7,7,3,1,0,1,7,4,11,2,0,9,2,3.8182,0.3333,0.4545,0.7778,1.2323,0.5,7,7,0,0,0,7,4,15,2,0,13,1,3.2667,0.5385,0.6,0.5385,1.1385,0.7778,7,4,1,0,0,5,1,6,1,0,5,0,3.0,0.8,0.8333,1.0,1.8333,1.0,75,150,25,0,0,0,25,0,650,0.1667,0.1667,0.1667,0.3334,0.5,125,175,50,50,0,0,50,0,1050,0.2857,0.4444,0.2857,0.7301,0.4,75,75,25,25,0,0,25,0,0,0.3333,0.5,0.3333,0.8333,0.5,200,325,75,50,0,0,75,0,1700,0.2308,0.3333,0.2308,0.5641,0.4286
ff66de097ebf87e8c61d1bc35825e947,https://cards.theshow.com/mlb25/ff66de097ebf87e8c61d1bc35825e947-baked.webp,Caleb Durbin,Common,Brewers,MIL,61,2B,25,R,R,183 lbs,"5'7""",True,0,0,0,0,0,0,0,10,10,42,39,34,31,24,55,53,49,45,83,0,63,72,70,62,0,84,54,50,61,2025,702332,0,current,05/17/2025,61,Common,Common,0,27,27,4,0,0,1,7,2,21,1,2,18,4,2.7143,0.2222,0.3333,0.3889,0.7222,0.2,27,10,3,0,0,13,5,72,3,5,62,9,2.4444,0.1613,0.2535,0.2097,0.4632,0.1724,27,8,3,0,0,11,1,20,2,1,16,8,2.65,0.5,0.5789,0.6875,1.2664,0.5333,19,19,2,0,0,0,2,1,14,1,2,11,2,2.8571,0.1818,0.3571,0.1818,0.539,0.2,19,6,2,0,0,8,5,49,2,3,42,8,2.449,0.1429,0.2292,0.1905,0.4196,0.1579,19,6,2,0,0,8,1,14,2,1,10,8,2.8571,0.6,0.6923,0.8,1.4923,0.6667,7,7,0,0,0,0,0,0,3,1,0,2,0,3.6667,0.0,0.3333,0.0,0.3333,0.0,7,0,0,0,0,0,3,18,0,2,16,2,2.5,0.0,0.1111,0.0,0.1111,0.0,7,0,0,0,0,0,1,3,0,0,3,1,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
9c087e46653cba00f0d9e4064f3c485c,https://cards.theshow.com/mlb25/9c087e46653cba00f0d9e4064f3c485c-baked.webp,Carlos Correa,Gold,Twins,MIN,81,SS,30,R,R,220 lbs,"6'4""",True,0,0,0,0,0,0,0,10,10,93,71,80,51,76,61,68,35,25,83,0,77,83,92,70,0,46,0,0,81,2025,621043,0,current,05/17/2025,81,Gold,Gold,0,41,41,9,2,0,2,17,4,24,1,0,23,5,3.375,0.3913,0.4167,0.7391,1.1558,0.4118,41,26,6,0,0,32,25,133,7,0,125,8,2.5489,0.208,0.2481,0.256,0.5041,0.2574,41,13,8,0,0,21,3,32,5,0,26,5,2.625,0.5,0.5625,0.8077,1.3702,0.5417,16,16,6,0,0,1,9,1,14,1,0,13,4,3.0,0.4615,0.5,0.6923,1.1923,0.4545,16,14,2,0,0,16,14,49,0,0,49,3,2.3061,0.2857,0.2857,0.3265,0.6122,0.4,16,4,2,0,0,6,1,9,1,0,8,2,2.3333,0.5,0.5556,0.75,1.3056,0.5714,3,3,1,0,0,0,1,0,1,0,0,1,0,0.0,1.0,1.0,1.0,2.0,1.0,3,2,0,0,0,2,2,7,0,0,7,0,3.0,0.2857,0.2857,0.2857,0.5714,0.4,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,13825,27550,7925,4250,125,275,13350,4325,128100,0.2877,0.382,0.4846,0.8666,0.32,26625,76925,20825,8425,600,825,35950,12475,349525,0.2707,0.344,0.4673,0.8113,0.3123,20475,28150,7600,4475,200,1100,12425,11425,0,0.27,0.3618,0.4414,0.8032,0.3048,40450,104475,28750,12675,725,1100,49300,16800,477625,0.2752,0.3543,0.4719,0.8262,0.3144
014ccbabbb2c6c5a69b9d4d876fca7ad,https://cards.theshow.com/mlb25/014ccbabbb2c6c5a69b9d4d876fca7ad-baked.webp,Carson Kelly,Silver,Cubs,CHC,79,C,30,R,R,212 lbs,"6'2""",True,0,0,0,0,0,0,0,10,10,72,62,50,60,73,70,90,35,25,72,0,62,62,80,72,72,26,3,2,79,2025,608348,0,current,05/17/2025,79,Silver,Silver,0,28,28,5,1,1,1,11,2,29,6,0,22,5,3.3103,0.2273,0.3793,0.5,0.8793,0.2,28,21,2,0,7,44,12,81,15,1,65,18,3.6173,0.3231,0.4568,0.6769,1.1337,0.3043,28,9,3,1,0,14,2,23,7,0,16,5,3.7391,0.5625,0.6957,0.875,1.5707,0.6429,13,13,4,1,0,1,8,2,16,2,0,14,3,3.0625,0.2857,0.375,0.5714,0.9464,0.2727,13,8,1,0,1,12,7,36,4,0,32,2,3.6389,0.25,0.3333,0.375,0.7083,0.2917,13,4,2,0,0,6,1,10,3,0,7,1,4.4,0.5714,0.7,0.8571,1.5571,0.6667,5,5,0,0,0,0,0,0,4,1,0,3,0,3.5,0.0,0.25,0.0,0.25,0.0,5,3,1,0,0,4,4,17,2,0,15,0,3.9412,0.2,0.2941,0.2667,0.5608,0.2727,5,2,1,0,0,3,0,4,1,0,3,0,5.0,0.6667,0.75,1.0,1.75,0.6667,6850,11725,3025,1550,100,75,5450,1850,54800,0.258,0.3476,0.4648,0.8124,0.2903,11625,28050,5900,2800,450,225,9400,3325,124950,0.2103,0.2902,0.3351,0.6253,0.2429,7775,9875,2475,1725,225,300,4125,3900,0,0.2506,0.3649,0.4177,0.7826,0.271,18475,39775,8925,4350,550,300,14850,5175,179750,0.2244,0.3074,0.3734,0.6808,0.2566
41cdd01a02e82e438790ffdace1255a1,https://cards.theshow.com/mlb25/41cdd01a02e82e438790ffdace1255a1-baked.webp,Cam Smith,Bronze,Astros,HOU,66,3B,22,R,R,224 lbs,"6'3""",True,0,0,0,0,0,0,0,10,10,55,45,56,41,55,62,55,22,17,79,0,67,68,58,49,0,55,20,18,66,2025,701358,0,current,05/17/2025,66,Bronze,Bronze,0,32,32,4,1,0,2,11,9,25,5,1,19,5,4.04,0.2105,0.4,0.5789,0.9789,0.25,32,20,2,1,1,27,26,94,9,1,84,7,3.0106,0.2381,0.3191,0.3214,0.6406,0.3333,32,12,3,1,0,17,3,19,2,0,17,5,2.1579,0.7059,0.7368,1.0,1.7368,0.8571,12,12,2,1,0,0,3,5,12,2,0,10,1,3.9167,0.2,0.3333,0.3,0.6333,0.4,12,8,2,0,0,10,10,35,6,0,29,1,3.5143,0.2759,0.4,0.3448,0.7448,0.4211,12,4,3,0,0,7,1,7,1,0,6,1,2.2857,0.6667,0.7143,1.1667,1.881,0.8,6,6,1,1,0,0,2,3,5,0,0,5,1,4.0,0.2,0.2,0.4,0.6,0.5,6,5,0,0,0,5,3,18,5,0,13,1,3.6667,0.3846,0.5556,0.3846,0.9402,0.5,6,2,1,0,0,3,0,3,1,0,2,1,3.3333,1.0,1.0,1.5,2.5,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
80b542a26bddba0bfea6dcd03ca38d54,https://cards.theshow.com/mlb25/80b542a26bddba0bfea6dcd03ca38d54-baked.webp,Carlos Rodriguez,Common,Braves,ATL,63,RF,24,L,L,186 lbs,"5'10""",True,0,0,0,0,0,0,0,10,10,53,47,43,34,38,38,35,55,30,72,0,68,56,54,68,0,82,55,50,63,2025,677578,0,current,05/17/2025,63,Common,Common,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
082491c2c86ed591cece62c9b34f8c27,https://cards.theshow.com/mlb25/082491c2c86ed591cece62c9b34f8c27-baked.webp,Cavan Biggio,Common,Royals,KC,63,2B,29,L,R,200 lbs,"6'2""",True,0,0,0,0,0,0,0,10,10,56,38,30,47,38,75,56,35,34,61,0,63,49,72,62,0,74,19,38,63,2025,624415,0,current,05/17/2025,63,Common,Common,0,32,32,1,0,0,0,1,2,9,1,0,6,0,3.1111,0.1667,0.2857,0.1667,0.4524,0.25,32,10,1,0,1,14,14,67,10,1,56,3,3.194,0.1786,0.3134,0.25,0.5634,0.2195,32,3,1,0,0,4,1,14,4,0,8,0,3.2857,0.375,0.5833,0.5,1.0833,0.4286,14,14,1,0,0,0,1,1,5,0,0,4,0,3.2,0.25,0.25,0.25,0.5,0.3333,14,3,1,0,1,7,4,27,4,0,23,1,3.0741,0.1304,0.2593,0.3043,0.5636,0.1111,14,1,1,0,0,2,1,6,1,0,4,0,3.3333,0.25,0.4,0.5,0.9,0.3333,5,5,0,0,0,0,0,0,2,0,0,2,0,4.0,0.0,0.0,0.0,0.0,0.0,5,1,1,0,0,2,1,9,2,0,7,0,3.4444,0.1429,0.3333,0.2857,0.619,0.1667,5,1,1,0,0,2,0,2,1,0,1,0,4.5,1.0,1.0,2.0,3.0,1.0,5975,9000,2150,1550,175,100,3075,975,44950,0.2389,0.358,0.3417,0.6997,0.3665,11925,29950,6625,4725,500,125,11675,3675,148325,0.2212,0.3357,0.3898,0.7255,0.2779,7475,9450,2475,1800,125,225,3575,3150,0,0.2619,0.3793,0.3783,0.7576,0.3647,17900,38950,8775,6275,675,225,14750,4650,193275,0.2253,0.3409,0.3787,0.7196,0.2973
90f8018a1bc43e4077ce574d1eb1053f,https://cards.theshow.com/mlb25/90f8018a1bc43e4077ce574d1eb1053f-baked.webp,Carmine Lane,Common,Free Agents,FA,59,2B,23,R,R,200 lbs,"6'0""",True,0,0,0,0,0,0,0,10,10,46,42,39,35,35,36,37,29,24,82,0,66,68,64,64,0,57,18,14,59,2025,689858,0,current,05/17/2025,59,Common,Common,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
658554b5cdaf6ce721d68cf2a0be6734,https://cards.theshow.com/mlb25/658554b5cdaf6ce721d68cf2a0be6734-baked.webp,Carlos Santana,Silver,Guardians,CLE,79,1B,38,S,R,210 lbs,"5'11""",True,0,0,0,0,0,0,0,10,10,70,48,80,55,80,72,58,35,29,95,0,94,47,76,86,0,32,30,20,79,2025,467793,0,current,05/17/2025,79,Silver,Silver,0,43,43,8,0,0,0,8,6,41,6,0,35,3,3.4634,0.2286,0.3415,0.2286,0.57,0.2759,43,24,3,0,4,39,25,136,16,3,114,18,3.2206,0.2105,0.3162,0.3421,0.6583,0.2273,43,10,3,0,0,13,2,32,6,0,24,8,3.2188,0.4167,0.5,0.5417,1.0417,0.4167,19,19,3,0,0,0,3,2,14,3,0,11,2,4.1429,0.2727,0.4286,0.2727,0.7013,0.3333,19,10,1,0,2,17,10,60,11,2,45,13,3.25,0.2222,0.3833,0.3778,0.7611,0.2286,19,2,1,0,0,3,2,13,4,0,7,6,3.6923,0.2857,0.4615,0.4286,0.8901,0.2857,7,7,1,0,0,0,1,1,7,2,0,5,1,4.8571,0.2,0.4286,0.2,0.6286,0.25,7,1,0,0,0,1,4,18,4,0,13,3,3.5556,0.0769,0.2778,0.0769,0.3547,0.1,7,0,0,0,0,0,2,4,1,0,2,1,3.75,0.0,0.25,0.0,0.25,0.0,31225,57925,16000,9025,300,425,26175,9175,274425,0.2762,0.3742,0.4519,0.8261,0.2904,48125,127075,28725,22925,700,1125,53525,17875,638700,0.226,0.3448,0.4212,0.766,0.2411,37175,47175,11725,11150,250,1550,20900,18600,0,0.2485,0.3846,0.443,0.8276,0.2616,79350,185000,44725,31950,1000,1550,79700,27050,913125,0.2418,0.3539,0.4308,0.7847,0.2575
57d9feca3d144ef644fa4b72f68c427b,https://cards.theshow.com/mlb25/57d9feca3d144ef644fa4b72f68c427b-baked.webp,Carter Aldrete,Bronze,Free Agents,FA,68,3B,27,R,R,205 lbs,"6'2""",True,0,0,0,0,0,0,0,10,10,56,51,55,50,42,38,42,34,31,77,0,65,66,67,68,0,65,35,31,68,2025,666177,0,current,05/17/2025,68,Bronze,Bronze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
a7764e28f003eb6dfb636dce8ff2c0bd,https://cards.theshow.com/mlb25/a7764e28f003eb6dfb636dce8ff2c0bd-baked.webp,Casey Schmitt,Bronze,Giants,SF,68,2B,26,R,R,215 lbs,"6'2""",True,0,0,0,0,0,0,0,10,10,70,42,69,46,62,36,57,35,25,72,0,57,82,56,55,0,65,5,6,68,2025,669477,0,current,05/17/2025,68,Bronze,Bronze,0,8,8,3,1,0,0,4,7,20,0,1,19,2,2.45,0.1579,0.2,0.2105,0.4105,0.25,8,1,1,0,0,2,2,4,0,0,4,0,2.5,0.25,0.25,0.5,0.75,0.5,8,2,2,0,0,4,1,5,0,1,4,0,2.6,0.5,0.6,1.0,1.6,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2000,3825,950,175,50,50,1675,475,14375,0.2484,0.2866,0.4379,0.7245,0.2627,2350,5175,1025,250,100,50,1650,675,19100,0.1981,0.2466,0.3188,0.5654,0.2552,1725,2250,550,150,50,100,675,750,0,0.2444,0.2941,0.3,0.5941,0.3284,4350,9000,1975,425,150,100,3325,1150,33475,0.2194,0.2636,0.3694,0.633,0.2586
5f6abd385d99e9f508320ab4cca07f28,https://cards.theshow.com/mlb25/5f6abd385d99e9f508320ab4cca07f28-baked.webp,Ceddanne Rafaela,Silver,Red Sox,BOS,79,CF,24,R,R,165 lbs,"5'10""",True,0,0,0,0,0,0,0,10,10,38,64,50,45,61,36,74,39,35,95,0,85,91,94,99,0,80,46,71,79,2025,678882,0,current,05/17/2025,79,Silver,Silver,0,42,42,8,2,1,1,15,9,43,2,1,38,7,2.814,0.2105,0.2619,0.3947,0.6566,0.2414,42,27,6,1,1,38,21,114,7,1,105,11,2.4474,0.2571,0.3097,0.3619,0.6716,0.3133,42,18,8,2,0,30,4,38,2,2,32,8,2.3158,0.5625,0.6111,0.9375,1.5486,0.6429,19,19,5,2,0,1,10,6,24,1,0,21,5,2.75,0.2381,0.2609,0.4762,0.7371,0.2667,19,13,5,1,0,20,8,51,2,0,48,3,2.3333,0.2708,0.3,0.4167,0.7167,0.325,19,12,7,1,0,21,2,22,0,0,20,3,2.1364,0.6,0.6,1.05,1.65,0.6667,7,7,3,2,0,0,5,5,11,0,0,10,1,2.9091,0.3,0.3,0.5,0.8,0.6,7,4,1,1,0,7,2,17,1,0,16,2,2.4706,0.25,0.2941,0.4375,0.7316,0.2857,7,6,3,1,0,11,1,9,0,0,8,2,2.2222,0.75,0.75,1.375,2.125,0.8571,2550,4200,875,200,50,0,1500,350,16875,0.2083,0.2528,0.3571,0.6099,0.3039,4125,11475,2975,275,150,100,4600,1650,43725,0.2593,0.2833,0.4009,0.6842,0.3183,2800,4075,1000,175,50,100,1725,1600,0,0.2454,0.2784,0.4233,0.7017,0.3,6675,15675,3850,475,200,100,6100,2000,60600,0.2456,0.2751,0.3892,0.6643,0.3149
41109bd8a1af3a6178b069627268f0f1,https://cards.theshow.com/mlb25/41109bd8a1af3a6178b069627268f0f1-baked.webp,Cedric Mullins,Gold,Orioles,BAL,82,CF,30,L,L,175 lbs,"5'9""",True,0,0,0,0,0,0,0,10,10,57,66,54,76,70,73,80,71,62,90,0,77,70,55,74,0,71,80,80,82,2025,656775,0,current,05/17/2025,82,Gold,Gold,0,42,42,11,2,0,2,19,7,51,9,1,41,5,3.2157,0.2683,0.4118,0.4634,0.8752,0.2812,42,22,5,0,6,45,34,122,12,1,109,20,3.459,0.2018,0.2869,0.4128,0.6997,0.2319,42,14,7,0,0,21,6,33,5,1,27,11,3.0909,0.5185,0.6061,0.7778,1.3838,0.6667,19,19,3,1,0,0,4,6,24,4,0,20,0,3.7083,0.15,0.2917,0.2,0.4917,0.2143,19,7,1,0,2,14,17,52,0,0,52,5,3.3269,0.1346,0.1346,0.2692,0.4038,0.1515,19,4,2,0,0,6,3,13,1,0,12,0,3.6923,0.3333,0.3846,0.5,0.8846,0.4444,7,7,2,1,0,0,3,2,9,1,0,8,0,3.7778,0.25,0.3333,0.375,0.7083,0.3333,7,3,1,0,1,7,7,19,0,0,19,4,3.5789,0.1579,0.1579,0.3684,0.5263,0.1818,7,3,2,0,0,5,3,7,0,0,7,0,4.1429,0.4286,0.4286,0.7143,1.1429,0.75,9400,17525,3925,1375,225,50,6100,1600,72875,0.224,0.2881,0.3481,0.6362,0.271,15725,43275,11425,4100,500,350,19725,5350,188075,0.264,0.3323,0.4558,0.7881,0.2967,9900,12300,3125,1250,225,400,5350,4750,0,0.2541,0.3245,0.435,0.7595,0.2831,25125,60800,15350,5475,725,400,25825,6950,260950,0.2525,0.3197,0.4248,0.7445,0.2895
